# 4B 模型真机实测（从 Ollama server.log 抽取，非外推）

源: `C:\Users\23002\AppData\Local\Ollama\server.log`
样本数: 219 次完整推理

| # | prompt_tok | prompt_ms | eval_tok | eval_ms | total_ms | tok/s | 12tok | 20tok | 40tok |
| 153 | 1 | 128.9 | 39 | 4757.4 | 4886.3 | 7.99 | 1.50s | 2.50s | 5.01s |
| 154 | 1 | 125.2 | 36 | 4406.5 | 4531.7 | 7.94 | 1.51s | 2.52s | 5.04s |
| 155 | 14 | 583.4 | 35 | 4241.9 | 4825.3 | 8.02 | 1.50s | 2.49s | 4.99s |
| 156 | 1 | 124.3 | 32 | 3840.1 | 3964.4 | 8.07 | 1.49s | 2.48s | 4.96s |
| 157 | 1 | 123.5 | 21 | 2459.2 | 2582.7 | 8.13 | 1.48s | 2.46s | 4.92s |
| 158 | 6 | 278.9 | 13 | 1469.3 | 1748.2 | 8.17 | 1.47s | 2.45s | 4.90s |
| 159 | 1 | 117.4 | 12 | 1341.8 | 1459.2 | 8.20 | 1.46s | 2.44s | 4.88s |
| 160 | 1 | 115.8 | 12 | 1347.4 | 1463.2 | 8.16 | 1.47s | 2.45s | 4.90s |
| 161 | 8 | 355.1 | 38 | 4606.6 | 4961.7 | 8.03 | 1.49s | 2.49s | 4.98s |
| 162 | 1 | 118.4 | 44 | 5353.4 | 5471.8 | 8.03 | 1.49s | 2.49s | 4.98s |
| 163 | 1 | 120.8 | 70 | 8526.5 | 8647.2 | 8.09 | 1.48s | 2.47s | 4.94s |
| 164 | 11 | 466.0 | 59 | 7437.3 | 7903.2 | 7.80 | 1.54s | 2.56s | 5.13s |
| 165 | 1 | 123.7 | 61 | 7460.2 | 7583.9 | 8.04 | 1.49s | 2.49s | 4.98s |
| 166 | 1 | 124.6 | 53 | 6499.8 | 6624.4 | 8.00 | 1.50s | 2.50s | 5.00s |
| 167 | 411 | 7235.1 | 25 | 2875.2 | 10110.3 | 8.35 | 1.44s | 2.40s | 4.79s |
| 168 | 1 | 128.4 | 22 | 2582.0 | 2710.4 | 8.13 | 1.48s | 2.46s | 4.92s |
| 169 | 9 | 357.7 | 29 | 3501.4 | 3859.2 | 8.00 | 1.50s | 2.50s | 5.00s |
| 170 | 1 | 122.0 | 21 | 2461.8 | 2583.8 | 8.12 | 1.48s | 2.46s | 4.93s |
| 171 | 14 | 536.0 | 16 | 1837.6 | 2373.6 | 8.16 | 1.47s | 2.45s | 4.90s |
| 172 | 1 | 122.4 | 15 | 1718.9 | 1841.3 | 8.14 | 1.47s | 2.46s | 4.91s |
| 173 | 6 | 269.8 | 17 | 1968.0 | 2237.8 | 8.13 | 1.48s | 2.46s | 4.92s |
| 174 | 1 | 124.4 | 16 | 1854.8 | 1979.2 | 8.09 | 1.48s | 2.47s | 4.94s |
| 175 | 8 | 351.6 | 55 | 6746.7 | 7098.3 | 8.00 | 1.50s | 2.50s | 5.00s |
| 176 | 1 | 125.6 | 53 | 6608.6 | 6734.2 | 7.87 | 1.52s | 2.54s | 5.08s |
| 177 | 11 | 475.8 | 77 | 9490.1 | 9966.0 | 8.01 | 1.50s | 2.50s | 4.99s |
| 178 | 1 | 125.8 | 65 | 8249.8 | 8375.6 | 7.76 | 1.55s | 2.58s | 5.15s |
| 179 | 8 | 361.9 | 13 | 1507.0 | 1868.9 | 7.96 | 1.51s | 2.51s | 5.03s |
| 180 | 1 | 125.1 | 13 | 1504.2 | 1629.3 | 7.98 | 1.50s | 2.51s | 5.01s |
| 181 | 9 | 383.7 | 109 | 13503.0 | 13886.7 | 8.00 | 1.50s | 2.50s | 5.00s |
| 182 | 1 | 123.4 | 120 | 14833.1 | 14956.5 | 8.02 | 1.50s | 2.49s | 4.99s |
| 183 | 11 | 466.5 | 164 | 20258.1 | 20724.6 | 8.05 | 1.49s | 2.48s | 4.97s |
| 184 | 1 | 125.2 | 102 | 12737.3 | 12862.5 | 7.93 | 1.51s | 2.52s | 5.04s |
| 185 | 11 | 469.1 | 139 | 17192.6 | 17661.7 | 8.03 | 1.49s | 2.49s | 4.98s |
| 186 | 1 | 123.5 | 80 | 9712.8 | 9836.3 | 8.13 | 1.48s | 2.46s | 4.92s |
| 187 | 10 | 415.6 | 69 | 8505.6 | 8921.2 | 7.99 | 1.50s | 2.50s | 5.01s |
| 188 | 1 | 123.9 | 12 | 1377.3 | 1501.3 | 7.99 | 1.50s | 2.50s | 5.01s |
| 189 | 10 | 416.9 | 194 | 24303.3 | 24720.2 | 7.94 | 1.51s | 2.52s | 5.04s |
| 190 | 1 | 124.9 | 78 | 9929.7 | 10054.6 | 7.75 | 1.55s | 2.58s | 5.16s |
| 191 | 2328 | 38656.5 | 16 | 1818.7 | 40475.2 | 8.25 | 1.45s | 2.42s | 4.85s |
| 192 | 1 | 122.2 | 36 | 4258.2 | 4380.4 | 8.22 | 1.46s | 2.43s | 4.87s |
| 193 | 1 | 122.1 | 44 | 5259.5 | 5381.6 | 8.18 | 1.47s | 2.44s | 4.89s |
| 194 | 9 | 396.9 | 39 | 4726.6 | 5123.5 | 8.04 | 1.49s | 2.49s | 4.98s |
| 195 | 1 | 122.9 | 48 | 5757.2 | 5880.1 | 8.16 | 1.47s | 2.45s | 4.90s |
| 196 | 1 | 122.4 | 50 | 6009.5 | 6131.9 | 8.15 | 1.47s | 2.45s | 4.91s |
| 197 | 14 | 613.1 | 33 | 4005.5 | 4618.6 | 7.99 | 1.50s | 2.50s | 5.01s |
| 198 | 1 | 123.6 | 99 | 12471.0 | 12594.6 | 7.86 | 1.53s | 2.54s | 5.09s |
| 199 | 1 | 124.8 | 66 | 8117.5 | 8242.3 | 8.01 | 1.50s | 2.50s | 4.99s |
| 200 | 6 | 297.5 | 19 | 2258.0 | 2555.5 | 7.97 | 1.51s | 2.51s | 5.02s |
| 201 | 1 | 126.8 | 12 | 1370.2 | 1496.9 | 8.03 | 1.49s | 2.49s | 4.98s |
| 202 | 1 | 125.3 | 11 | 1250.1 | 1375.4 | 8.00 | 1.50s | 2.50s | 5.00s |
| 203 | 8 | 372.1 | 96 | 11879.3 | 12251.4 | 8.00 | 1.50s | 2.50s | 5.00s |
| 204 | 1 | 123.5 | 71 | 8728.0 | 8851.5 | 8.02 | 1.50s | 2.49s | 4.99s |
| 205 | 1 | 124.8 | 46 | 5616.8 | 5741.6 | 8.01 | 1.50s | 2.50s | 4.99s |
| 206 | 11 | 490.0 | 94 | 11624.7 | 12114.6 | 8.00 | 1.50s | 2.50s | 5.00s |
| 207 | 1 | 123.4 | 86 | 10900.2 | 11023.6 | 7.80 | 1.54s | 2.56s | 5.13s |
| 208 | 1 | 125.6 | 68 | 8399.1 | 8524.6 | 7.98 | 1.50s | 2.51s | 5.01s |
