【A】真·零引用（全项目没有任何代码引用它，且字符串里也没提过）227 个
def    WeatherSystem.set_location                 ralsei_pet\modules\weather_system.py:308
def    _inflate                                   ralsei_pet\modules\scene_walk.py:227
def    build_speaker_header                       ralsei_pet\modules\companion_dialog.py:362
def    data_gaps                                  ralsei_pet\modules\item_interact.py:157
def    describe_companion                         ralsei_pet\modules\companion.py:476
def    describe_route                             ralsei_pet\modules\scene_routing.py:365
def    describe_walk                              ralsei_pet\modules\scene_walk.py:1023
def    dialogue_source                            ralsei_pet\modules\npc_system.py:265
def    disable                                    ralsei_pet\modules\text_segmenter.py:188
def    format_context                             ralsei_pet\modules\companion_dialog.py:249
def    get_log_dir                                ralsei_pet\modules\logger_utils.py:204
def    hit_obstacle                               ralsei_pet\modules\scene_walk.py:255
def    load_blocks                                ralsei_pet\modules\worldview_recall.py:183
def    load_graph                                 ralsei_pet\modules\worldview_recall.py:188
def    load_pickups                               ralsei_pet\modules\item_interact.py:387
def    load_registry                              ralsei_pet\modules\npc_system.py:222
def    must_stay_inside                           ralsei_pet\modules\bubble_system.py:155
def    progress_to_next                           ralsei_pet\modules\relationship.py:135
def    reset_default                              ralsei_pet\modules\global_hotkey.py:168
def    scale_rect                                 ralsei_pet\modules\scene_camera.py:172
def    set_level                                  ralsei_pet\modules\logger_utils.py:186
def    survey                                     ralsei_pet\modules\item_interact.py:403
def    window_from_point                          ralsei_pet\modules\desktop_interaction.py:160

【B】零代码引用，但被字符串字面量提过（多为 docstring/日志文案）30 个
class  PetInteractionTracker                      ralsei_pet\modules\pet_interaction.py:308
def    ChatScheduler.abort                        ralsei_pet\modules\companion_roster.py:319
def    ChatScheduler.busy                         ralsei_pet\modules\companion_roster.py:228
def    DesktopInteraction.create_folder           ralsei_pet\modules\desktop_interaction.py:1641
def    DialogueLog.last_from_id                   ralsei_pet\modules\companion_dialog.py:460
def    DialogueLog.rejected                       ralsei_pet\modules\companion_dialog.py:474
def    EmotionSystem.get_animation_for_emotion    ralsei_pet\modules\emotion_system.py:837
def    FollowerBoard.respond                      ralsei_pet\modules\npc_system.py:419
def    HotkeyFilter._F.nativeEventFilter          ralsei_pet\modules\global_hotkey.py:284
def    Interactable.busy                          ralsei_pet\modules\companion.py:443
def    ItemCatalog.has                            ralsei_pet\modules\item_system.py:220
def    MemorySystem.query_memory                  ralsei_pet\modules\memory_system.py:213
def    MemorySystem.recall_feedback               ralsei_pet\modules\memory_system.py:1377
def    RalseiPet._async_api_request               ralsei_pet\src\main.py:7744
def    RalseiPet.react_to_file_emotionally        ralsei_pet\src\main.py:9390
def    SceneController.ready                      ralsei_pet\modules\scene_controller.py:163
def    SceneController.render_summary             ralsei_pet\modules\scene_controller.py:390
def    SceneController.resolve_objects            ralsei_pet\modules\scene_controller.py:474
def    SearchSummarizer.get_brief_summary         ralsei_pet\modules\search_summarizer.py:111
def    SearchSummarizer.summarize_search_results  ralsei_pet\modules\search_summarizer.py:94
def    SpriteLoader.get_sprite                    ralsei_pet\modules\sprite_loader.py:802
def    _nearest_free                              ralsei_pet\modules\scene_walk.py:304
def    check_reply                                ralsei_pet\modules\companion_dialog.py:337
def    grants_foreign_dark                        ralsei_pet\modules\bubble_system.py:170
def    output_size                                ralsei_pet\modules\scene_render.py:132
def    pick_variant                               ralsei_pet\modules\scene_system.py:564
def    plan_walk                                  ralsei_pet\modules\scene_walk.py:830
def    register_provider                          ralsei_pet\modules\api_client.py:431
def    reset_default_bus                          ralsei_pet\modules\companion.py:333
def    resolve_asset_path                         ralsei_pet\modules\scene_system.py:142
